상호명,카테고리,업종,시도,구,latitude,longitude,도로명주소,전화번호,홈페이지,휴무일,오픈시간,주차여부,반려동물전용여부,입장가능종류,제한사항,color
열린약국,반려의료,동물약국,서울특별시,구로구,37.50264701,126.849837,서울특별시 구로구 고척로 142-1,226256040,,매주 일요일,"월~금 09:00~21:00, 토 09:00~19:00, 일 11:00~18:00",N,해당없음,모두 가능,제한사항 없음,purple
열린온누리약국,반려의료,동물약국,서울특별시,노원구,37.62531221,127.079704,서울특별시 노원구 공릉로 173,29787582,,매주 일요일,"월, 화, 목, 금 09:00~20:00, 수09:00~19:00, 토09:00~18:00",Y,해당없음,모두 가능,제한사항 없음,purple
열린온누리약국,반려의료,동물약국,서울특별시,서초구,37.50736641,127.022595,서울특별시 서초구 강남대로85길 5,50714140780,,매주 일요일,"월~금 09:30~18:30, 토 09:00~14:00",N,해당없음,모두 가능,제한사항 없음,purple
열린종합동물병원,반려의료,동물병원,서울특별시,강동구,37.54018856,127.141293,서울특별시 강동구 양재대로 1508,24877575,,,,Y,해당없음,모두 가능,제한사항 없음,orange
열린프라자약국,반려의료,동물약국,서울특별시,은평구,37.61233415,126.928664,서울특별시 은평구 통일로 750,231570079,,"매주 토, 일, 법정공휴일",월~금 09:00~17:00,N,해당없음,모두 가능,제한사항 없음,purple
염창제일동물병원,반려의료,동물병원,서울특별시,강서구,37.55317049,126.86966,서울특별시 강서구 양천로 651,236657582,,매주 일요일,"월~금 10:00~20:00, 토 10:00~18:00",Y,해당없음,모두 가능,제한사항 없음,orange
영광약국,반려의료,동물약국,서울특별시,구로구,37.49689827,126.892606,서울특별시 구로구 구로중앙로18길 68,28626830,,매주 일요일,"월~금09:00~21:00, 토09:00~16:00",Y,해당없음,모두 가능,제한사항 없음,purple
영국동물병원,반려의료,동물병원,서울특별시,송파구,37.49421608,127.133062,서울특별시 송파구 동남로18길 23,24307005,,매주 일요일,월~토 09:00~20:00,N,해당없음,모두 가능,제한사항 없음,orange
영등포21세기약국,반려의료,동물약국,서울특별시,영등포구,37.52807906,126.897806,서울특별시 영등포구 당산로36길 12,226367588,,"매주 일요일, 법정공휴일",월~토 09:00~22:00,Y,해당없음,모두 가능,제한사항 없음,purple
영등포동물병원,반려의료,동물병원,서울특별시,영등포구,37.52152757,126.896321,서울특별시 영등포구 영등포로 131-2,226339991,https://www.ydp-ah.com/,연중무휴,"월~토 09:00~20:00, 일 10:00~19:00",Y,해당없음,모두 가능,제한사항 없음,orange
영등포시장약국,반려의료,동물약국,서울특별시,영등포구,37.52176721,126.905298,서울특별시 영등포구 영중로 62,226349321,,"매주 일요일, 법정공휴일","월~금 08:30~20:30, 토 08:30~18:30",N,해당없음,모두 가능,제한사항 없음,purple
영등포아크로 동물병원,반려의료,동물병원,서울특별시,영등포구,37.52365869,126.90643,서울특별시 영등포구 국회대로54길 10,226322307,https://blog.naver.com/acrovet,매주 일요일,월~토 10:00~20:00,Y,해당없음,모두 가능,제한사항 없음,orange
영등포아트홀,반려동반여행,문예회관,서울특별시,영등포구,37.52600873,126.900109,서울특별시 영등포구 국회대로 596,226704020,http://www.ydpcf.or.kr/main/main.do,"매주 토, 일, 법정공휴일",월~금 09:00~20:00,Y,해당없음,해당없음,해당없음,green
영등포제일약국,반려의료,동물약국,서울특별시,영등포구,37.52094739,126.904622,서울특별시 영등포구 영중로 51-1,220687277,,"매주 일요일, 법정공휴일","월~금 09:00~19:30, 토 09:00~16:00",N,해당없음,모두 가능,제한사항 없음,purple
영등포진약국,반려의료,동물약국,서울특별시,영등포구,37.52203509,126.904746,서울특별시 영등포구 영중로 63,231410683,https://peacepharm.modoo.at/,"매주 일요일, 법정공휴일","월~금 09:00~19:30, 토 09:00~14:30",N,해당없음,모두 가능,제한사항 없음,purple
영림약국,반려의료,동물약국,서울특별시,동대문구,37.590507,127.062321,서울특별시 동대문구 망우로21길 16,222429388,,"매주 일요일, 법정공휴일","월~금 08:30~20:00, 토 08:30~18:00",N,해당없음,모두 가능,제한사항 없음,purple
영보약국,반려의료,동물약국,서울특별시,송파구,37.50381382,127.089005,서울특별시 송파구 백제고분로 202,24142411,,매주 일요일,"월~금 09:00~21:00, 토 09:00~16:00",N,해당없음,모두 가능,제한사항 없음,purple
영인문학관,반려동반여행,박물관,서울특별시,종로구,37.61189247,126.971758,서울특별시 종로구 평창30길 81,23793182,young-in.kr,매주 화~일,월 10:30~17:00,Y,해당없음,모두 가능,야외만 반려동물 동반 가능,beige
영하개,반려동물 서비스,미용,서울특별시,노원구,37.6245416,127.079559,서울특별시 노원구 공릉로 163,,http://instagram.com/0_hagae,매주 목요일,금~수 10:00~19:00,Y,해당없음,모두 가능,제한사항 없음,lightred
예뻐할개,반려동물 서비스,반려동물용품,서울특별시,서대문구,37.58862437,126.937504,서울특별시 서대문구 홍제내길 152,27324200,,4째주 일요일,매일 10:00~21:00,Y,해당없음,모두 가능,제한사항 없음,darkblue
예쁜댕,반려동물 서비스,미용,서울특별시,강동구,37.54924557,127.136399,서울특별시 강동구 구천면로 335,50713469363,,매주 목요일,금~수 10:00~20:00,N,해당없음,모두 가능,제한사항 없음,lightred
예사랑약국,반려의료,동물약국,서울특별시,송파구,37.50948014,127.112092,서울특별시 송파구 백제고분로 436,24134881,,"매주 일요일, 법정공휴일","월~금 08:30~19:00, 토 08:30~14:00",N,해당없음,모두 가능,제한사항 없음,purple
예은약국,반려의료,동물약국,서울특별시,종로구,37.606872,126.958442,서울특별시 종로구 진흥로 456,23799920,,"매주 일요일, 법정공휴일","월~금 09:00~21:00, 토 09:00~17:00",N,해당없음,모두 가능,제한사항 없음,purple
예일동물병원,반려의료,동물병원,서울특별시,관악구,37.48926449,126.92723,서울특별시 관악구 봉천로 232,28320081,https://blog.naver.com/vetoxic,매주 일요일,"월~금 10:00~21:00, 토 10:00~20:00",N,해당없음,모두 가능,제한사항 없음,orange
예일애견용품분양,반려동물 서비스,반려동물용품,서울특별시,서대문구,37.58067969,126.925846,서울특별시 서대문구 거북골로 13,23032066,,,,N,해당없음,모두 가능,제한사항 없음,darkblue
예일약국,반려의료,동물약국,서울특별시,광진구,37.54007626,127.089403,서울특별시 광진구 구의로 23,24534341,,"매주 일요일, 법정공휴일","월~금 09:00~21:00, 토 09:00~20:00",N,해당없음,모두 가능,제한사항 없음,purple
예진약국,반려의료,동물약국,서울특별시,은평구,37.60530851,126.910304,서울특별시 은평구 갈현로 81,23552475,,"매주 토, 일, 법정공휴일",월~금 09:00~18:00,N,해당없음,모두 가능,제한사항 없음,purple
옐로우퍼피,반려동물 서비스,미용,서울특별시,구로구,37.49817147,126.891995,서울특별시 구로구 공원로 11,50219450511,https://www.instagram.com/,매주 월요일,화~일 10:30~19:30,Y,반려동물 전용,모두 가능,제한사항 없음,lightred
오거리동물병원,반려의료,동물병원,서울특별시,은평구,37.59079861,126.915965,서울특별시 은평구 가좌로 239,23060158,,"매주 토, 일",월~금 10:00~20:00,N,해당없음,모두 가능,제한사항 없음,orange
오금근린공원,반려동반여행,여행지,서울특별시,송파구,37.50519118,127.131653,서울특별시 송파구 오금로 363,221473380,,연중무휴,매일 00:00~24:00,Y,해당없음,모두 가능,"목줄, 배변봉투",lightgray
오늘 카페,반려동물식당카페,카페,서울특별시,서초구,37.47984643,127.006088,서울특별시 서초구 명달로4길 4,264395428,https://www.instagram.com/cafe._.oneul,연중무휴,매일 10:00~22:00,Y,해당없음,모두 가능,제한사항 없음,lightgreen
오늘동물병원,반려의료,동물병원,서울특별시,성동구,37.54682636,127.044886,서울특별시 성동구 왕십리로 104,246977975,https://www.instagram.com/oneulah/,매주 일요일,월~토 09:00~19:00,Y,해당없음,모두 가능,제한사항 없음,orange
오늘맑음,반려동물식당카페,카페,서울특별시,강북구,37.6442841,127.005668,서울특별시 강북구 4.19로17길 14-1,264656460,,연중무휴,매일 11:00~21:00,Y,해당없음,모두 가능,"실내 정원 좌석만 동반 가능, 짖음 심한 경우 제한",lightgreen
오늘약국,반려의료,동물약국,서울특별시,영등포구,37.48891914,126.905926,서울특별시 영등포구 시흥대로 635,221353560,,"매주 일요일, 법정공휴일","월,수, 금 09:00~21:00, 화, 목 09:00~20:00, 토 09:00~14:00",Y,해당없음,모두 가능,제한사항 없음,purple
오늘은꽃단장,반려동물 서비스,미용,서울특별시,광진구,37.53731516,127.076697,서울특별시 광진구 자양번영로11길 4-8,50713374740,,"매주 화, 수","월,목~토 10:00~19:00",N,해당없음,모두 가능,제한사항 없음,lightred
오도독캣,반려동물 서비스,반려동물용품,서울특별시,광진구,37.56185555,127.087476,서울특별시 광진구 용마산로 92,50713166868,http://smartstore.naver.com/ododogcat_ch,매주 일요일,"화~수 12:00~20:00, 금~토 12:00~20:00, 월 13:00~20:00, 목 13:00~20:00",Y,해당없음,모두 가능,제한사항 없음,darkblue
오뚜기,반려동물 서비스,미용,서울특별시,은평구,37.60409805,126.91058,서울특별시 은평구 갈현로 70,260141121,,매주 월~금,토~일 10:00~20:00,N,해당없음,모두 가능,제한사항 없음,lightred
오라고동물병원,반려의료,동물병원,서울특별시,양천구,37.54955402,126.86695,서울특별시 양천구 공항대로 552,226437579,https://blog.naver.com/aurakoah,매주 일요일,"월~금 09:30~19:00, 토 09:30~17:00",Y,해당없음,모두 가능,제한사항 없음,orange
오렌지동물병원,반려의료,동물병원,서울특별시,성동구,37.55603542,127.033961,서울특별시 성동구 행당로8길 41-2,222977582,https://blog.naver.com/kdh3v7,연중무휴,"월~금 09:00~21:00, 일, 법정공휴일 10:00~20:00",Y,해당없음,모두 가능,제한사항 없음,orange
오렌지라임약국,반려의료,동물약국,서울특별시,양천구,37.52832892,126.863726,서울특별시 양천구 목동로 223,226018557,,연중무휴,"월~금 08:00~21:00, 토 08:30~20:00, 일, 법정공휴일 10:00~20:00",Y,해당없음,모두 가능,제한사항 없음,purple
오렌지애견미용학원,반려동물 서비스,미용,서울특별시,중구,37.56163293,126.996855,서울특별시 중구 퇴계로 226,222797600,http://www.topgroom.co.kr/,,,N,해당없음,모두 가능,제한사항 없음,lightred
오롯,반려동물 서비스,미용,서울특별시,도봉구,37.65762627,127.031275,서울특별시 도봉구 해등로 229,,https://www.instagram.com/orot_dog,연중무휴,"매일, 법정공휴일10:00~20:00",Y,해당없음,모두 가능,제한사항 없음,lightred
오류동물병원,반려의료,동물병원,서울특별시,구로구,37.49708172,126.846919,서울특별시 구로구 경인로 236,226123232,,매주 일요일,"월~금 09:30~19:00, 토, 법정공휴일 09:30~18:00",Y,해당없음,모두 가능,제한사항 없음,orange
오류동물약국,반려의료,동물약국,서울특별시,구로구,37.49098272,126.841521,서울특별시 구로구 오류로8길 16,226157570,,"매주 일요일, 법정공휴일","월~금 09:00~19:00, 토 09:00~14:00",Y,해당없음,모두 가능,제한사항 없음,purple
오리지널그루밍,반려동물 서비스,미용,서울특별시,강남구,37.50481119,127.038507,서울특별시 강남구 언주로97길 36,25080322,https://originalgrooming.modoo.at/,연중무휴,매일 11:00~20:00,Y,해당없음,모두 가능,제한사항 없음,lightred
오마이댕스 홍은점,반려동물 서비스,반려동물용품,서울특별시,서대문구,37.59340097,126.944705,서울특별시 서대문구 세검정로1길 60,50713468340,,연중무휴,매일 00:00~24:00,N,해당없음,해당없음,해당없음,darkblue
오마이도기,반려동물 서비스,반려동물용품,서울특별시,송파구,37.49330663,127.122187,서울특별시 송파구 송이로26길 16-35,25295332,http://www.ohmydoggy.co.kr/,,,N,해당없음,모두 가능,제한사항 없음,darkblue
오마이독,반려동물 서비스,미용,서울특별시,관악구,37.48654272,126.958522,서울특별시 관악구 관악로30길 13,50713686504,,매주 월요일,화~일 10:00~19:00,Y,해당없음,모두 가능,제한사항 없음,lightred
